Fecha (UTC),Estrategia,Motor,Modo (A/B/C),Propuesta Activa,Clase de Activo,Simbolo,Lado,Cantidad,Precio ($),Volumen ($),P&L Realizado ($),ID Orden
16/04/2026 13:32,MACDTrend_mA_844e46,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,BUY,4.137677881,486.487846,2012.93,-,9cfca20e-324b-441f-bffa-88066d90e623
16/04/2026 13:35,271add3c-92dc-41cf-8eb4-1dad38d3be1c,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,SELL,4.137677881,485.88,2010.41,2010.4149,d48274ad-bdfb-4514-89b8-c9853d58298d
16/04/2026 14:03,GoldenCros_mA_5f61b6,unknown,LEGACY,Legado (sin modo registrado),us_equity,XLC,BUY,17.05499068,118.02,2012.83,-,f09f56cd-3790-4c50-a4d6-65dc3763b5ba
16/04/2026 14:09,MACDTrend_mA_4c60d4,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,BUY,3.989635166,484.332507,1932.31,-,e08772f1-7544-436a-950f-87c3b5d83acd
16/04/2026 14:24,cb4358f8-7e08-4f3a-89ef-f5ef56b7d967,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,SELL,3.989635166,483.73,1929.91,1929.9062,45587fc2-4160-4db8-9f81-f12f8717e8f0
16/04/2026 14:30,MACDTrend_mA_d4c986,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,BUY,3.994253229,483.75,1932.22,-,1c6a1aab-cf2a-4e50-8237-713629ebb2db
16/04/2026 14:34,EMATrendCrossover,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,73936.9,14.79,-,24572df3-4c15-4300-a432-d7334b5bf65c
16/04/2026 14:46,30f62248-0fe1-4505-a28d-b893553ff975,unknown,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,SELL,15,55.929333,838.94,838.94,9842c075-b6f6-47a5-be69-57daa9996af0
16/04/2026 15:23,56678671-04e5-4841-b15f-deeee342921f,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,SELL,3.994253229,485.17,1937.89,1937.8918,77e414b3-c9a3-418f-82ff-20ce11fc0a88
16/04/2026 15:30,RSIBuytheD_mA_7f231c,unknown,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,BUY,34.95304997,56.23,1965.41,-,4c0ff08e-c21a-4703-b09a-9a6a41c3b874
16/04/2026 15:37,7d68b875-05eb-4169-8894-961937a27cc7,unknown,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,SELL,34.95304997,56.619428,1979.02,1979.0217,e70fe45a-51e9-416d-9fd3-7af6a619ff4f
16/04/2026 15:39,MACDTrend_mA_920081,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,BUY,4.052335408,485.14,1965.95,-,2f8010c0-a020-4dcc-a0a2-ba0a5a5f20df
16/04/2026 15:50,RSIBuytheD_mA_a88f78,unknown,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,BUY,33.4453305,56.43,1887.32,-,2a2e1f10-f24b-485a-8f12-db87b09a2377
16/04/2026 15:59,010464b0-de49-4faf-b154-bebfb99e8a51,unknown,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,SELL,33.4453305,56.73,1897.35,1897.3536,451ea1fe-b6c0-439d-a80b-e9913b617cf9
16/04/2026 16:17,f2ab5539-f46e-4413-9cce-d20806927ca4,unknown,LEGACY,Legado (sin modo registrado),us_equity,DIA,SELL,4.052335408,485.7,1968.22,1968.2193,4e680f87-a13e-4e95-a0ea-0c54693a7f60
16/04/2026 16:24,RSIBuytheD_mA_1a7756,unknown,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,BUY,34.68165785,56.7,1966.45,-,e63214cf-d77c-40ba-a600-1c72739aa91b
16/04/2026 16:31,SmartTWAPAccum,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74626.75,14.93,-,53e553cb-ca85-4c82-b954-5ec28d7cdbbd
16/04/2026 16:41,SmartTWAPAccum,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74460.28,14.89,-,fcab0c3c-0949-4211-8fbe-1e5e56219469
16/04/2026 16:45,EMATrendCrossover,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74438.8,14.89,-,4755fa85-9897-4921-91d2-095c16e9c7cd
16/04/2026 16:45,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,SNDL,BUY,72,1.53,110.16,-,5aa401e2-4a77-4aad-820a-b31133f56b6a
16/04/2026 16:45,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,TLRY,BUY,15,6.86,102.9,-,29b7d82e-6d3b-4d2f-a796-b29ae6e7cf5a
16/04/2026 16:45,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,CLOV,BUY,52,2.18,113.36,-,717c36b1-7089-4695-be48-4e2377ef5890
16/04/2026 16:45,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,MVIS,BUY,165,0.6496,107.18,-,1e6ae3cd-0095-4405-b35f-b7290796e893
16/04/2026 16:45,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,RIVN,BUY,6,16.99,101.94,-,98590898-ab5d-41c8-bef8-a0af076c77ed
16/04/2026 16:46,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,ATER,BUY,148,0.7006,103.69,-,28fc0377-b085-4f13-916d-111502559ae4
16/04/2026 16:46,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,GME,BUY,4,25.29,101.16,-,21db020a-a588-4922-a8df-7fef43146ed9
16/04/2026 16:46,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,BBBY,BUY,21,5.24,110.04,-,c54ceccb-1ea3-4e45-a502-04af47ffa913
16/04/2026 16:46,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,AMC,BUY,73,1.59,116.07,-,adf221ba-bec6-4bbb-8bec-d189374063fd
16/04/2026 16:46,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,WKHS,BUY,38,2.78,105.64,-,a8319739-d8bd-4a0d-9004-6d3faf2dd91b
16/04/2026 16:48,EMATrendCrossover,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74397.29,14.88,-,4d7e6d29-d425-4723-adef-5aefe7868058
16/04/2026 16:49,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,LCID,BUY,13.03780965,7.67,100,-,c336809c-9e99-4671-8afb-cddd8eac135e
16/04/2026 16:49,GammaSqueeze,equities,A,market-environment-analysis (Régimen),us_equity,SPCE,BUY,35.0877193,2.85,100,-,a042659a-5b88-451f-b2d5-933ffb1ad4c0
16/04/2026 16:54,SmartTWAPAccum,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74125.11,14.83,-,8b5b9197-b74f-4fb9-80d6-1249445e0f3d
